id,price,lat,lng,name,rating,property_type,room_type,person_capacity,bedrooms,beds,bathrooms,cleanliness_rating,location_rating,value_rating,communication_rating,checkin_rating,accuracy_rating,review_count,description,city,created_at
1319757062259613424,295,40.71909,-74.06693,"Hotel-Style– No Host, Professionally Managed ID273",,Private room in rental unit,Private room,2,1,1,1,4.64,4.36,4.73,5,5,5,11,"",Jersey City,2025-12-31 18:23:20.716338
1516700100033014957,433,40.77568957761813,-74.01907527969107,Master room with a private bathroom,,Private room in rental unit,Private room,2,1,1,,4.83,4.83,4.83,5,5,4.83,6,"",Union City,2025-12-31 18:22:10.027595
13902725,146.2,40.75757,-73.98962,There's a reason this room has a 5-star rating.,,Private room in rental unit,Private room,2,1,1,1,4.88,4.99,4.83,4.99,4.93,4.96,151,"",New York,2025-12-31 21:58:57.94691
1551891234387394807,95.6,40.66606,-73.88737,"Modern, Clean Room w/ Dedicated Bath",,Private room in home,Private room,1,1,1,,5,4.75,4.88,5,5,4.88,8,"",Brooklyn,2025-12-31 18:23:55.766154
1529862229950417023,91,40.66433,-73.8866,"Modern, Cozy Room w/ Dedicated Bath",,Private room in home,Private room,1,1,1,,5,4.7,4.8,4.9,5,5,10,"",Brooklyn,2025-12-31 18:23:03.026288
30492727,131.4,34.111450831716006,-118.33139663851728,"Hollywood paradise studio in house,own entrance",,Entire home,Entire home/apt,2,1,1,1,4.93,4.92,4.8,4.95,4.97,4.89,605,"",Los Angeles,2025-12-31 23:33:32.206059
52845168,42.2,40.90527,-73.78155,Cozy Room #2 | New Rochelle | Near NYC,,Private room in rental unit,Private room,2,1,1,2,4.86,4.8,4.91,4.96,4.95,4.91,152,"",New Rochelle,2025-12-31 18:22:47.827417
704610101267844712,351,40.791,-74.00287,Cheerful Private Bedroom Just 30min to Manhattan,,Private room in home,Private room,2,1,1,1,4.79,4.75,4.82,4.87,4.95,4.89,199,"",Guttenberg,2025-12-31 18:23:28.111957
1424325366150488978,222.6,34.09513979186712,-118.34394225324596,"King Bed, Secured Parking, Gym, Pool, Jacuzzi",,Entire rental unit,Entire home/apt,2,1,1,1,5,4.92,4.97,5,4.84,4.97,37,"",West Hollywood,2025-12-31 23:33:33.718953
42075992,338,40.74537,-74.05142,"Newly renovated, Clean & Close to NYC",,Private room in home,Private room,1,1,1,1,4.83,4.69,4.76,4.95,4.94,4.88,270,"",Jersey City,2025-12-31 18:24:10.609883
1177449988217037376,99.6,40.61881,-74.0323824,City Base: Convenient Studio in Bay Ridge,,Entire rental unit,Entire home/apt,2,0,1,1,4.57,4.72,4.57,4.94,4.9,4.54,67,"",Brooklyn,2025-12-31 18:23:41.082918
1363031720625577626,60.8,40.79598612405572,-74.00006476370926,Cozy private room near NYC,,Private room in home,Private room,1,1,1,2,4.91,4.87,4.82,4.91,4.91,4.82,45,"",North Bergen,2025-12-31 18:22:40.420651
52846109,42.2,40.90742,-73.78217,Cozy Room #3 | New Rochelle | Near NYC,,Private room in rental unit,Private room,2,1,1,2,4.78,4.81,4.91,4.89,4.91,4.89,139,"",New Rochelle,2025-12-31 18:22:30.176666
1383534710447097074,243.6,34.1084,-118.37792,"""Casa Lily of Laurel Canyon""",,Entire home,Entire home/apt,2,1,1,1,5,5,4.71,4.86,4.93,4.93,14,"",Los Angeles,2025-12-31 23:33:31.703131
20014072,57.4,40.8509,-73.86054,Private room by Stella,,Private room in home,Private room,1,1,1,1.5,4.91,4.71,4.95,4.96,4.93,4.95,183,"",Bronx,2025-12-31 18:24:26.567195
8152916,603,40.84403,-73.93424,"Bright, Spacious, Classic Apt! Gen. Check-In/Out",,Private room in condo,Private room,2,1,1,1,4.91,4.57,4.89,4.95,4.96,4.95,282,"",New York,2025-12-31 18:23:29.886426
801336,152.6,34.00236,-118.47622,B&B Walk to Beach - Breezy Homebase,,Private room in condo,Private room,2,1,1,,4.84,4.94,4.87,4.98,4.97,4.95,672,"",Santa Monica,2025-12-31 23:33:35.733491
1359614298478862830,309,40.79686902982776,-73.99935100854621,Convenient private room near NYC,,Private room in home,Private room,1,1,1,2,4.73,4.73,4.8,4.95,4.95,4.86,44,"",North Bergen,2025-12-31 18:23:49.117223
968356497739578739,1047,40.726500887879446,-74.00589303831433,Charming studio in heart of SoHo,,Entire rental unit,Entire home/apt,2,1,1,1,4.89,4.99,4.76,4.97,4.82,4.85,79,"",New York,2025-12-31 18:22:54.726219
827423328399331714,137.8,40.68401005914049,-73.9189410834283,Cozy BedStuy  Brownstone,,Entire guest suite,Entire home/apt,2,1,1,1,4.97,4.83,4.76,4.9,4.91,4.82,94,"",Brooklyn,2025-12-31 21:59:19.62901
1233741840559332037,77.2,40.83509,-73.91162,Cozy modern room/ Budget Friendly in Bronx,,Private room in home,Private room,2,1,1,1,4.6,4.61,4.73,4.87,4.9,4.75,89,"",Bronx,2025-12-31 18:22:37.132125
710125502337453435,375,40.79212,-74.00737,"Travelers Gem in a Stylish Rowhouse, 20 min to NYC",,Private room in townhouse,Private room,2,1,1,1,4.91,4.65,4.76,4.96,4.88,4.9,89,"",West New York,2025-12-31 18:23:38.68407
1304829733458297120,60.2,40.744587305759886,-74.04712904510085,Private room 06 in Jersey city,,Private room in rental unit,Private room,2,1,1,2,4.87,4.65,4.87,5,5,4.96,23,"",Jersey City,2025-12-31 18:23:53.28081
30715051,546,40.7712,-74.0248,Minutes to Midtown Manhattan,,Entire condo,Entire home/apt,2,0,1,1,4.78,4.71,4.8,4.83,4.85,4.81,300,"",Weehawken,2025-12-31 18:22:56.283371
1314654084272097211,320,40.75322198619165,-74.045739859868,"Hotel-Style– No Host, Professionally Managed ID299",,Private room in rental unit,Private room,3,1,1,1,4.84,4.84,4.68,5,4.89,4.84,19,"",Jersey City,2025-12-31 17:56:15.527651
31960036,695,40.7889,-74.00608,Cozy  1BR Retreat | 20 mins to NYC!,,Entire rental unit,Entire home/apt,4,1,2,1,4.93,4.81,4.91,4.94,4.97,4.95,453,"",West New York,2025-12-31 19:41:48.507039
1361211388455895171,358,40.79732,-74.00366,"Traveler friendly,private room,20 mins to NYC",,Private room in home,Private room,1,1,1,1,4.78,4.81,4.76,4.86,4.92,4.86,37,"",North Bergen,2025-12-31 18:24:35.161385
22109870,103.2,40.73728,-73.924853,Sunshine Dream Room in Private House 4 Avid Guests,,Private room in home,Private room,2,1,1,1,4.81,4.86,4.96,4.99,4.98,4.95,155,"",Queens,2025-12-31 21:59:22.666296
1161993018569444905,375,40.7896106,-74.0034162,"Cozy Private Room, 20 mins to Manhattan!",,Private room in home,Private room,2,1,1,1,4.84,4.78,4.66,4.95,4.96,4.78,101,"",West New York,2025-12-31 18:24:55.324826
1420567450295344151,513,40.76344,-74.04445,Accessible•Street Level•1 Parking•Washer & Dryer,,Entire rental unit,Entire home/apt,2,0,1,1,4.96,4.92,4.9,4.94,4.92,4.92,51,"",North Bergen,2025-12-31 18:25:29.922891
1393726230567032807,345,40.79690663136216,-74.01087838584985,Simple & Comfortable Stay in a Shared Apartment!,,Private room in home,Private room,2,1,1,1,4.88,4.58,4.7,4.96,4.96,4.86,50,"",North Bergen,2025-12-31 18:25:36.952267
1317757101543582726,514,40.76062617468165,-74.05047909637909,#2 - King Bed in Cozy Private Studio Suite,,Entire rental unit,Entire home/apt,4,1,2,1,4.97,4.83,4.88,5,4.96,4.99,69,"",North Bergen,2025-12-31 18:26:58.886937
1207148805164324844,353,40.7863,-74.00535,(11) the best skyline,,Private room in home,Private room,2,1,1,1.5,4.68,4.75,4.66,4.82,4.91,4.71,56,"",West New York,2025-12-31 18:25:44.072649
8055721,97.2,40.68879,-73.92859,Private Garden View Room in Brownstone Near Subway,,Private room in townhouse,Private room,2,1,1,2,4.79,4.64,4.85,4.95,4.97,4.93,635,"",Brooklyn,2025-12-31 18:25:55.028233
1453121226394001563,44.8,34.01557,-118.39328,New Garage Room in Medit. House,,Private room in home,Private room,2,1,1,1.5,4.48,4.7,4.61,4.85,4.79,4.64,33,"",Culver City,2025-12-31 23:33:37.747918
1011109092602276032,65.4,40.79826,-74.00568,New fully furnished private bedroom!,,Private room in home,Private room,2,1,1,1,4.9,4.72,4.75,4.98,4.97,4.94,109,"",North Bergen,2025-12-31 18:24:40.615118
924600,68,40.68838398698687,-73.93455910435819,"Sunny, private room in Brooklyn!",,Private room in rental unit,Private room,1,1,1,1,4.79,4.6,4.85,4.9,4.93,4.87,200,"",Brooklyn,2025-12-31 18:26:57.283764
1310278530949544799,375,40.7982844497286,-74.01769869260373,1.2 time square 25 min-MetLife Stadium 20 min,,Private room in rental unit,Private room,4,1,3,1,5,4.73,4.87,4.91,4.89,4.96,56,"",North Bergen,2025-12-31 19:41:53.796892
1127656056268893557,79.8,40.73159,-73.7942,Cozy private bedroom with bathroom in NYC,,Private room in home,Private room,1,1,1,,4.97,4.79,4.93,4.99,5,5,108,"",Queens,2025-12-31 21:59:21.658731
43315235,170.8,40.71962,-73.9939,138 Bowery-Classic Studio,,Room in aparthotel,Entire home/apt,2,0,1,1,4.81,4.87,4.74,4.6,4.86,4.91,78,"",New York,2025-12-31 18:24:44.325867
1177429576159372498,97.8,40.61881,-74.03238,Vibrant Bay Ridge Studio: Close to Everything,,Entire rental unit,Entire home/apt,4,0,2,1,4.7,4.79,4.7,4.95,4.89,4.74,96,"",Brooklyn,2025-12-31 18:25:34.162585
738808066933887303,184.8,34.016396573668246,-118.4918081043028,"Heart of DT SM Studio, Walk To Beach & Pier",,Entire serviced apartment,Entire home/apt,2,1,1,1,4.92,4.95,4.8,4.98,4.96,4.97,106,"",Santa Monica,2025-12-31 23:33:38.250968
1153108393676400179,64,40.69305,-74.08747,Charming Bedroom 5 min walk to the train to NYC D,,Private room in rental unit,Private room,2,1,1,1,4.85,4.69,4.84,4.95,4.89,4.93,55,"",Jersey City,2025-12-31 18:25:02.991911
1121728149508963756,293,40.71402,-74.07456,"Hotel-Style– No Host, Professionally Managed ID289",,Private room in rental unit,Private room,2,1,1,2,4.91,4.33,4.48,5,4.94,4.88,33,"",Jersey City,2025-12-31 18:25:20.644122
1526362827812038016,256.2,34.01182,-118.49411,Pierside King,,Room in hotel,Private room,2,1,1,,4.8,4.96,4.68,4.68,4.84,4.84,25,"",Santa Monica,2025-12-31 23:33:38.753117
565430340731534459,636,40.77873,-74.02541,Work and Relax 1BR Condo 15 Min from NYC,,Entire condo,Entire home/apt,3,1,2,1,4.97,4.73,4.78,4.95,4.92,4.94,108,"",Union City,2025-12-31 18:26:11.319562
890578160748025477,528,40.67866,-73.96188,Comfy Room in Central Brooklyn,,Private room in rental unit,Private room,1,1,1,1,4.8,4.7,4.68,4.95,4.93,4.89,88,"",Brooklyn,2025-12-31 18:26:03.080495
1445866841793395391,400,40.6502181,-74.1263025,Peaceful urban oasis near NYC,,Entire rental unit,Entire home/apt,2,1,1,1,4.68,4.79,4.74,4.89,4.89,4.58,19,"",Bayonne,2025-12-31 18:25:24.050282
1449333582048837621,537,40.77351,-74.02811,Quiet Corner Studio • Steps to NYC Bus,,Entire rental unit,Entire home/apt,2,0,1,1,4.61,4.71,4.75,4.82,4.82,4.79,28,"",Union City,2025-12-31 18:26:27.25322
572530913771194520,602,40.655579,-73.931503,"Adorable studio, cozy & newly renovated",,Private room in guest suite,Private room,2,1,2,,4.91,4.33,4.65,4.92,4.93,4.82,209,"",Brooklyn,2025-12-31 18:25:06.410062
1393719303728971026,336,40.79701832491491,-74.01086286600454,"Peaceful Room in Shared Flat, Close to NYC!",,Private room in home,Private room,2,1,1,1,4.91,4.75,4.74,4.96,4.98,4.92,54,"",North Bergen,2025-12-31 18:25:39.695813
1177473168936527770,105,40.61881,-74.03238,Sleek Urban Studio: Experience NYC in Bay Ridge,,Entire rental unit,Entire home/apt,2,0,1,1,4.64,4.71,4.6,4.93,4.89,4.64,96,"",Brooklyn,2025-12-31 18:24:36.982176
1572320521933195056,114,34.09001,-118.3903,Hollywood Pink Suite • Private Bath • Walk of Fame,,Private room in townhouse,Private room,2,1,1,,5,5,5,5,5,5,3,"",West Hollywood,2025-12-31 23:39:21.352794
16430248,451,40.79821,-74.00374,Best deal to visit NYC,,Entire home,Entire home/apt,4,1,3,1,4.75,4.74,4.81,4.94,4.95,4.87,494,"",North Bergen,2025-12-31 18:27:54.269098
708784876021513580,493,40.79452702991579,-73.94585912667414,HUGE RM Manhattan Near Metro & Central Park Walkup,,Private room in rental unit,Private room,2,1,2,1,4.74,4.73,4.87,4.98,4.97,4.94,190,"",New York,2025-12-31 18:29:14.055494
8873479,763,40.73560575436411,-73.98182548191754,Beautiful modern room with private bathroom,,,,,,,,,,,,,,,"","",2025-12-31 18:28:03.413352
31513692,419,40.80936,-73.93105,Small Private Bedroom-Great Location in Manhattan,,Private room in rental unit,Private room,1,1,1,1,4.45,4.76,4.86,4.95,4.92,4.84,100,"",New York,2025-12-31 18:27:43.589678
965836734967050413,127.6,40.68238,-73.93672,"Bedroom in brownstone near subway,private bathroom",,Private room in home,Private room,2,1,1,,4.96,4.89,4.77,4.94,4.94,4.92,53,"",Brooklyn,2025-12-31 18:28:15.171044
1545780467549214924,118,40.7576,-73.91209,Cozy and Bright Bedroom with 2 Shared Bathrooms,,Private room in rental unit,Private room,1,1,1,2,5,5,4.75,5,5,5,4,"",Queens,2025-12-31 21:59:26.699839
1542743365902195247,817,40.75612,-73.99174,Luxe finishes and accessible features,,Room in hotel,Private room,4,1,,,5,5,5,5,5,5,1,"",New York,2025-12-31 18:29:20.11853
1577810983034771791,135,34.06259,-118.37219,"The Grove, LA",,Entire rental unit,Entire home/apt,2,1,1,1,,,,,,,,"",Beverly Hills,2025-12-31 23:42:35.120342
1574378936697932937,119.4,34.09169,-118.38946,Hollywood Boho Suite • Private Bath • Walk of Fame,,Private room in townhouse,Private room,2,1,1,,5,5,5,5,5,5,5,"",West Hollywood,2025-12-31 23:42:34.614743
1041477525563744772,71,40.7666176515075,-73.92840390854026,Bright room in heart of Astoria,,Private room in home,Private room,2,1,1,1,4.73,4.83,4.7,4.97,5,4.83,30,"",Queens,2025-12-31 21:58:47.87636
1054669444835087590,71.6,40.78939,-74.00378,“Modern Private Room. 20 mins from Port Authority”,,Private room in home,Private room,2,1,1,1,4.88,4.83,4.93,4.95,4.98,4.9,41,"",West New York,2025-12-31 17:55:46.952269
1210454298134395825,354,40.79483,-74.01468,Bright and Spacious Room 15-30 Mins from NYC,,Private room in home,Private room,2,1,1,1,4.83,4.83,4.88,4.98,4.93,4.93,41,"",Guttenberg,2025-12-31 18:29:00.33613
984681401887658062,725,40.74456,-74.02698,Hoboken Haven – Heart of town!,,Entire condo,Entire home/apt,3,1,1,1,4.91,4.99,4.89,5,5,4.96,138,"",Hoboken,2025-12-31 18:28:44.225397
1005914845377005142,168.4,34.09768,-118.31752,Kasa Sunset | Deluxe King Studio in Hollywood,,Entire serviced apartment,Entire home/apt,2,0,1,1,4.91,4.83,4.82,4.88,4.94,4.9,304,"",Los Angeles,2025-12-31 23:33:29.672922
783202,989,40.73277,-74.00267,Charming First Floor Village Apt off Bleecker,,Entire rental unit,Entire home/apt,4,1,3,1,4.68,4.98,4.72,4.81,4.85,4.75,434,"",New York,2025-12-31 18:29:28.177996
29080678,544,40.77767,-74.03568,1BR 15min(4ppl)NYC/1Car/5min American Dream Mall!,,Entire condo,Entire home/apt,4,1,2,1,4.93,4.72,4.9,4.97,4.92,4.94,368,"",North Bergen,2025-12-31 18:29:07.270216
1325325489513574664,497,40.90894,-73.97568,"NYC-Nearby, Free Parking, Clean & Cozy APT",,Entire rental unit,Entire home/apt,2,1,1,1,4.89,4.74,4.69,4.97,4.83,4.74,35,"",Englewood,2025-12-31 18:29:32.130218
1027022256226682028,579,40.78940926271759,-74.00342915207148,Cozy Flat near NYC,,Entire condo,Entire home/apt,4,1,1,1,4.88,4.83,4.89,5,4.92,4.89,76,"",West New York,2025-12-31 17:55:13.036104
8281045,64.4,40.76006,-74.04086,"Simple room, in Host’s home. (Female ONLY)",,Private room in condo,Private room,1,1,1,1,4.94,4.57,4.89,4.92,4.84,4.94,63,"",Union City,2025-12-31 18:28:29.999587
1297822453324252559,127.2,40.6724118,-73.8811185,* Brooklyn Private Suite *,,Entire rental unit,Entire home/apt,2,1,1,1,4.71,4.69,4.8,5,5,4.94,35,"",Brooklyn,2025-12-31 18:29:39.880864
1115471563998250173,104,40.76572,-73.91685,Best located private bedroom in Astoria!,,Private room in rental unit,Private room,2,1,,1,4.92,4.94,4.96,4.97,4.96,4.96,71,"",Queens,2025-12-31 21:59:29.717696
1380653801422991291,140.6,40.75119,-73.89121,"Prime location w/ parking, 10 min to LGA & subway",,Private room in home,Private room,2,1,1,,5,4.98,5,5,4.98,4.98,62,"",Queens,2025-12-31 21:59:29.214899
1021965378817390715,93.6,40.6660982,-73.8931984,"Modern NYC Stay:NearAirports,2 min walk to subway",,Private room in home,Private room,2,1,1,2,4.82,4.67,4.87,4.96,4.93,4.91,180,"",Brooklyn,2025-12-31 19:53:00.045964
815206410272939264,180.2,34.02257,-118.46665,Cozy Bungalow Oasis | Sleeps 3,,Entire rental unit,Entire home/apt,3,1,,1,4.92,4.89,4.86,4.96,4.96,4.95,168,"",Santa Monica,2025-12-31 23:42:37.13469
1349486556345255494,245,34.08263,-118.38643,Beverly Center lovely neighbor,,Entire rental unit,Entire home/apt,2,1,1,1,4.86,4.76,4.62,4.34,4.17,4.62,29,"",West Hollywood,2025-12-31 23:42:35.626731
1502499830496127121,703,40.79042,-74.00366,Modern Condo Near NYC Skyline + Free Parking,,Entire rental unit,Entire home/apt,4,1,2,1,5,4.92,5,4.92,4.96,5,26,"",Guttenberg,2025-12-31 18:27:45.631585
1555804998521226300,369,40.8055487,-73.9934079,"Bright, spacious room just 20 minutes from NYC!",,Private room in rental unit,Private room,2,1,1,1,4.77,4.85,4.77,4.85,4.77,4.85,13,"",North Bergen,2025-12-31 18:27:39.274919
1095018491084238599,1137,40.762157531396625,-73.98716248732148,New Hotel in the Heart of Times Square | City View,,Room in hotel,Private room,4,0,2,,4.85,4.9,4.56,4.76,4.86,4.81,171,"",New York,2025-12-31 19:40:42.27687
1452459651028581483,486,40.772123089998566,-74.01825257614381,Giant room 10 min from NYC,,Private room in home,Private room,2,1,1,2,4.85,5,4.96,4.96,4.96,4.96,27,"",Weehawken Township,2025-12-31 19:40:49.429741
1101470215361697223,1560,40.76537,-73.97917,Steps to Central Park | Rooftop Bar. Gym. Dining.,,Room in hotel,Private room,2,1,1,,4.84,4.94,4.67,4.81,4.87,4.77,293,"",New York,2025-12-31 19:39:25.344585
1542743359626510019,979,40.75612,-73.99174,Refined style and dedicated workspace,,Room in hotel,Private room,4,1,,,4.67,5,5,5,5,5,3,"",New York,2025-12-31 19:41:36.227903
1388617371798467387,364,40.794355,-74.0091831,Sunny Private Room w/ Bathroom – Fast NYC Access!,,Private room in home,Private room,2,1,1,,4.86,4.68,4.74,4.94,4.92,4.84,50,"",Guttenberg,2025-12-31 18:23:24.25091
1543571779317375865,327,40.717000478920994,-74.08933324285076,Spacious Room w Balcony |5 mins to Train|Near Café,,Private room in home,Private room,2,1,1,1,5,5,5,5,5,5,1,"",Jersey City,2025-12-31 18:29:58.025008
1388743231740997415,377,40.794355,-74.0091831,Charming Private Room with Easy NYC Access!,,Private room in home,Private room,2,1,1,1,4.75,4.59,4.89,4.98,4.98,4.8,44,"",Guttenberg,2025-12-31 19:42:09.228378
25619849,714,40.72598,-73.97582,Welcome to YURT -- comfy room in East Village,,Private room in rental unit,Private room,2,1,1,2,4.68,4.82,4.71,4.92,4.84,4.85,73,"",New York,2025-12-31 18:30:14.676232
1111072720693755574,1211,40.783232832895514,-73.98015268980461,Quiet Escape | Times Square. Sightseeing,,Room in hotel,Private room,2,1,1,1,4.8,4.94,4.62,4.93,4.84,4.76,100,"",New York,2025-12-31 19:42:02.399657
1122580872375918944,640,40.76764,-74.03747,WORLD CUP + minutes to NYC,,Entire rental unit,Entire home/apt,3,1,1,1,4.96,4.78,4.79,4.96,4.9,4.93,68,"",Union City,2025-12-31 18:29:52.106343
1480429953620865698,341,40.79757,-74.01517,Blush & Breeze Private Room-20 mins to Manhattan,,Private room in home,Private room,2,1,1,1,4.88,4.5,4.69,4.94,4.88,4.81,16,"",North Bergen,2025-12-31 19:43:07.253053
1108082653379426204,191,40.75575514804686,-73.98740612160151,Tropical Oasis | Times Square. Heated Pool,,Room in hotel,Private room,2,1,1,1,4.93,4.93,4.71,4.91,4.9,4.87,215,"",New York,2025-12-31 21:58:46.361622
51241506,195,40.7554979277539,-73.96981905720087,Penthouse Studio East 50s with Roof Terrace,,Private room in condo,Private room,2,1,1,,4.95,4.97,4.88,4.99,4.97,4.96,333,"",New York,2025-12-31 19:40:54.401775
1104472941469620295,100.6,40.64423754733866,-73.95802524629407,Cozy room in Central Brooklyn,,Private room in home,Private room,2,1,1,1,4.88,4.67,4.93,4.99,4.99,4.96,138,"",Brooklyn,2025-12-31 18:30:30.311467
